,FILE_PATH,FILE_NAME,EVENT_TIME,EVENT_TYPE
0,D:\Local_Files_analysis\Files_analysis\img\poorna1.txt,poorna1.txt,2021-02-18 21:19:01,Delete
1,D:\Local_Files_analysis\Files_analysis\img\New Microsoft Office Publisher Document.pub,New Microsoft Office Publisher Document.pub,2021-02-18 21:19:06,Delete
2,D:\Local_Files_analysis\Files_analysis\img\New Microsoft Office Excel Worksheet.xlsx,New Microsoft Office Excel Worksheet.xlsx,2021-02-18 21:19:10,Delete
3,D:\Local_Files_analysis\Files_analysis\img\Harika1.txt,Harika1.txt,2021-02-18 21:19:20,Modified
4,D:\Local_Files_analysis\Files_analysis\img\New Text Document.txt,New Text Document.txt,2021-02-18 21:20:17,Create
5,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:20:22,Moved
6,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:20:48,Modified
7,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:21:03,Modified
8,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:21:07,Modified
9,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:21:08,Modified
10,D:\Local_Files_analysis\Files_analysis\img\poorna123.txt,poorna123.txt,2021-02-18 21:21:10,Modified
